epoch,mse_epoch_epoch,mse_epoch_step,mse_step,step
0,,1.415976643562317,1.415976643562317,49
0,,1.4125986099243164,1.4125986099243164,99
0,,1.3442449569702148,1.3442449569702148,149
0,,1.2820603847503662,1.2820603847503662,199
0,,1.3696433305740356,1.3696433305740356,249
0,,1.3498338460922241,1.3498338460922241,299
0,,1.3066169023513794,1.3066169023513794,349
0,,1.3014661073684692,1.3014661073684692,399
0,1.3487213850021362,,,440
1,,1.3686299324035645,1.3686299324035645,449
1,,1.346954345703125,1.346954345703125,499
1,,1.3733423948287964,1.3733423948287964,549
1,,1.3713375329971313,1.3713375329971313,599
1,,1.3555583953857422,1.3555583953857422,649
1,,1.3748315572738647,1.3748315572738647,699
1,,1.3879151344299316,1.3879151344299316,749
1,,1.3304224014282227,1.3304224014282227,799
1,,1.3885722160339355,1.3885722160339355,849
1,1.3483996391296387,,,881
2,,1.2812637090682983,1.2812637090682983,899
2,,1.3530179262161255,1.3530179262161255,949
2,,1.3225969076156616,1.3225969076156616,999
2,,1.373908519744873,1.373908519744873,1049
2,,1.2664766311645508,1.2664766311645508,1099
2,,1.3517112731933594,1.3517112731933594,1149
2,,1.3984832763671875,1.3984832763671875,1199
2,,1.3991315364837646,1.3991315364837646,1249
2,,1.2824733257293701,1.2824733257293701,1299
2,1.3519320487976074,,,1322
3,,1.3230206966400146,1.3230206966400146,1349
3,,1.3045005798339844,1.3045005798339844,1399
3,,1.3420331478118896,1.3420331478118896,1449
