C2	65.41	527.47
 C#2/Db2 	69.30	497.87
D2	73.42	469.92
 D#2/Eb2 	77.78	443.55
E2	82.41	418.65
F2	87.31	395.16
 F#2/Gb2 	92.50	372.98
G2	98.00	352.04
 G#2/Ab2 	103.83	332.29
A2	110.00	313.64
 A#2/Bb2 	116.54	296.03
B2	123.47	279.42
C3	130.81	263.74
 C#3/Db3 	138.59	248.93
D3	146.83	234.96
 D#3/Eb3 	155.56	221.77
E3	164.81	209.33
F3	174.61	197.58
 F#3/Gb3 	185.00	186.49
G3	196.00	176.02
 G#3/Ab3 	207.65	166.14
A3	220.00	156.82
 A#3/Bb3 	233.08	148.02
B3	246.94	139.71
C4	261.63	131.87
 C#4/Db4 	277.18	124.47
D4	293.66	117.48
 D#4/Eb4 	311.13	110.89
E4	329.63	104.66
F4	349.23	98.79
 F#4/Gb4 	369.99	93.24
G4	392.00	88.01
 G#4/Ab4 	415.30	83.07
A4	440.00	78.41
 A#4/Bb4 	466.16	74.01
B4	493.88	69.85
C5	523.25	65.93
 C#5/Db5 	554.37	62.23
D5	587.33	58.74
 D#5/Eb5 	622.25	55.44
E5	659.25	52.33
F5	698.46	49.39
 F#5/Gb5 	739.99	46.62
G5	783.99	44.01
 G#5/Ab5 	830.61	41.54
A5	880.00	39.20
 A#5/Bb5 	932.33	37.00
B5	987.77	34.93
C6	1046.50	32.97
